Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,SfC,10/6/2015,3/1/2016,KINGSBRIDGE & SALCOMBE HOCKEY CL,none,to assist with travel costs,250,Revenue
Place,SfC,14/08/2015,9/1/2015,KINGSKERSWELL COLTS FC,none,for set up costs of new under 9's football team,250,Revenue
Place,SfC,30/11/2015,3/1/2016,KINGSKERSWELL COMM & LEIS CNTR,none,for new curtains and tracks,2000,Revenue
Place,SfC,17/07/2015,8/1/2015,KINGSKERSWELL NATURAL HIST SOCTY,none,for purchase of screen and equipment,180,Revenue
Place,SfC,2/3/2015,31/03/2015,KINGSTEIGNTON A F C,none,for disabled access to Lych Gate,1000,Revenue
Place,SfC,25/08/2015,3/1/2016,KINGSTEIGNTON ALLOTMENT LEISURE,none,for water storage unit,1000,Revenue
Place,SfC,28/07/2015,11/1/2015,KINGSTEIGNTON GIRLGUIDING,306016,for new unit flags,500,Revenue
Place,SfC,11/2/2015,31/03/2015,KINGSTEIGNTON SENIOR CITIZENS CL,1048657,Purchase of short mat bowling and installation of broadband,1000,Revenue
Place,SfC,30/09/2015,11/1/2015,KINGSTEIGNTON TENNIS CLUB,none,for ball machine,1000,Revenue
Place,SfC,4/3/2015,31/03/2015,KINGSTEIGNTON YOUTH CENTRE TRUST,300881,for refurbishment of Youth Centre,3000,Revenue
Place,SfC,6/8/2015,9/1/2015,KINGSWAY RESIDENTS ASSOCIATION,none,to assist with purchase of new boiler,500,Revenue
Place,SfC,13/03/2015,31/03/2015,LAGOON VIEW COMMUNITY ORCHARD AS,none,Recycled heavy duty plastic bench,380,Revenue
Place,SfC,6/8/2015,10/1/2015,LANDKEY MILLENNIUM GREEN TRUST,1077132,Replacement Mower,1000,Revenue
Place,SfC,26/01/2015,31/03/2015,LED BY DREAMS,none,Domestic Abuse Support Services,300,Revenue
Place,SfC,29/05/2015,05/12/14-12/12/14,LEE & LINCOMBE RESIDENTS ASSOC,none,Replacement battery for community defibrillator,238.8,Revenue
Place,SfC,30/11/2015,12/1/2016,LEE MOOR PUBLIC HALL/RECRTN CLB,294771,new electric boards in hall,500,Revenue
Place,SfC,20/10/2015,10/1/2016,LIGHTS BRIGADE THE,none,Christmas Lights Parade,1000,Revenue
Place,SfC,17/12/2015,9/3/2016,LITTLEHAM FAMILY ACTIVITY CENTRE,none,for Xmas Parties,600,Revenue
Place,SfC,24/07/2015,31/03/2016,LIVING OPTIONS DEVON,1102489,DEAF HERITAGE,1500,Revenue
Place,SfC,30/11/2015,3/1/2016,LODDISWELL HORT & SPORTS SOCIETY,none,for purchase of gazebo/tent,200,Revenue
Place,SfC,17/07/2015,3/1/2015,LODDISWELL PLYNG FLD & VILL HALL,none,for bus service through Loddiswell,500,Revenue
Place,SfC,28/07/2015,9/1/2015,LORAM MAINTENANCE GROUP,none,for ground work on Loram Estate,400,Revenue
Place,SfC,27/02/2015,31/03/2015,LYMPSTONE GARDEN CLUB,none,Garden club talks/events,250,Revenue
Place,SfC,2/2/2015,31/03/2015,LYMPSTONE SAILING CLUB,none,Renovation of kitchen facilities,500,Revenue
Place,SfC,19/10/2015,3/31/2016,M E NORTH DEVON,1090755,Printer and notice board to support group activities,180,Revenue
Place,SfC,2/2/2015,31/03/2015,MADDOGS MMA ACADEMY,none,"Purchase of equipment, crash mats & boxing gloves",800,Revenue
Place,SfC,26/01/2015,31/03/2015,MARWOOD COMMUNITY HALL,1157216,To fit and furnish the new building,1000,Revenue
Place,SfC,18/08/2015,3/1/2016,MEMBURY PLAYING FIELD CTTE(FUND),none,for new play equipment,1000,Revenue
Place,SfC,28/05/2015,3/1/2016,MERRY GO ROUND TOY LIBRARIES,1100532,for replacement toys,560,Revenue
Place,SfC,8/10/2015,12/1/2015,MID DEVON MESSENGER,287670,Despatch System Update,900,Revenue
Place,SfC,1/10/2015,3/1/2016,MILLWEY RISE AFC YOUTH,none,for new kit,660,Revenue
Place,SfC,2/7/2015,3/31/2016,MILTON DAMEREL PARISH HALL,none,New community notice board,2000,Revenue
Place,SfC,7/7/2015,12/1/2015,MOMENTUM - ST LEONARDS PRI PTFA,none,for stage and lighting equipment,500,Revenue
Place,SfC,15/05/2015,3/1/2016,MOOR FM COMMUNITY RADIO CIC,9198155,studio build,1000,Revenue
Place,SfC,8/9/2015,2/1/2016,MOREBATH CRICKET CLUB,none,Pavilion improvements - UPVC windows and doors,750,Revenue
Place,SfC,11/2/2015,31/03/2015,MORETONHAMPSTEAD ASSOC FOR YOUTH,1085831,Furniture & woodwork project,1000,Revenue
Place,SfC,26/10/2015,2/1/2016,MORETONHAMPSTEAD INFORMATION CNT,none,for refurbishment of frontage,800,Revenue
Place,SfC,11/2/2015,31/03/2015,MORETONHAMPSTEAD SPRTS & COM CTR,none,Refurbishment of play area,750,Revenue
Place,SfC,30/09/2015,10/1/2015,NEWCOURT COMMUNITY ASSOCIATION,1152841,for community event to fund posters leaflets food etc,1000,Revenue
Place,SfC,17/12/2015,12/1/2015,NEWCOURT COMMUNITY ASSOCIATION,1152841,for speed restriction signs,1000,Revenue
Place,SfC,27/11/2015,3/31/2016,NEWPORT COMMUNITY SCHOOL PTA,1042392,New adventure playground,2500,Revenue
Place,SfC,2/3/2015,31/03/2015,NEWTON ABBOT CENTRE ASSOCIATION,300908,for purchase of irrigator,2000,Revenue
Place,SfC,6/3/2015,31/03/2015,NEWTON ABBOT CTA,none,Better systems to better utilise our better buses,900,Revenue
Place,SfC,14/12/2015,3/1/2016,NEWTON ABBOT RUGBY F C LTD,6567914,to assist with upgrade of floodlights,1000,Revenue
Place,SfC,26/02/2015,31/03/2015,NEWTOWN COMMUNITY ASSOCIATION,299529,Plants for portland St,300,Revenue
Place,SfC,26/08/2015,3/1/2016,NEWTOWN COMMUNITY ASSOCIATION,299529,for 307 squadron project,200,Revenue
Place,SfC,26/08/2015,10/1/2015,NEWTOWN COMMUNITY ASSOCIATION,299529,for food festival,400,Revenue
Place,SfC,2/3/2015,31/03/2015,NORTH BOVEY PARISH HALL TRUST,210453,for redecoration of hall,400,Revenue
Place,SfC,17/02/2015,31/03/2015,NORTH DEVON CARDIAC REHAB CLUB,none,Floor mats for relaxation exercises,250,Revenue
Place,SfC,6/7/2015,3/31/2016,NORTH DEVON ENVIRONMENTAL TRUST,296707,Microscope,2900,Revenue
Place,SfC,18/02/2015,31/03/2015,NORTH DEVON MOVING IMAGE CIC,8725612,To purchase video equipment,500,Revenue
Place,SfC,14/04/2015,31/03/2016,NORTH DEVON SUNRISE,none,DIVERSITY FESTIVA,1900,Revenue
Place,SfC,22/06/2015,31/03/2016,NORTH DEVON SUNRISE,none,COME OUT GROUP,1500,Revenue
Place,SfC,22/06/2015,31/03/2016,NORTH DEVON SUNRISE,none,N DEVON DIVERSITY,500,Revenue
Place,SfC,29/05/2015,25/06/15-27/06/15,NORTH DEVON VETERANS ASSOCIATION,none,Armed Forces Exhibition,250,Revenue
Place,SfC,21/01/2015,31/03/2015,NORTH TAWTON TWINNING,none,French Exchange,500,Revenue
Place,SfC,27/11/2015,3/31/2016,NORTHAM COMMUNITY ASSOCIATION,266692,Support for May Fair event 2016,1000,Revenue
Place,SfC,26/02/2015,31/03/2015,NORTHLEIGH PARISH HALL,203606,Kitchen refurbishment,2500,Revenue
Place,SfC,14/12/2015,2/1/2016,NORTHLEW STORES CIC,9872234,Community shop,500,Revenue
Place,SfC,29/07/2015,9/1/2015,NOURISH FESTIVAL LTD,8710144,to promote Bovey Tracey food/craft market,1500,Revenue
Place,SfC,6/2/2015,31/03/2015,OAKFORD VILLAGE HALL,286617,Purchase of new staging,2000,Revenue
Place,SfC,28/05/2015,30/06/2015,OFFWELL RECREATION GROUND AND,300915,for repairs to play equipment and fence,932.2,Revenue
Place,SfC,17/02/2015,31/03/2015,OKEHAMPTON BATTLE OF THE BANDS,none,Musical competition and festival,800,Revenue
Place,SfC,29/05/2015,10/17/2015,OKEHAMPTON CARNIVAL COMMITTEE,none,Insurance,500,Revenue
Place,SfC,29/05/2015,5/1/2015,OKEHAMPTON COMM & RECREATION ASC,1011839,Support for the event,1000,Revenue
Place,SfC,15/05/2015,3/1/2016,OKEHAMPTON COMMUNITY GARDEN,none,Hire of rotivator,500,Revenue
Place,SfC,2/2/2015,31/03/2015,OKEHAMPTON MOVING PICTURES,none,Portable Projection Screen replacement,400,Revenue
Place,SfC,30/06/2015,1/1/2016,OLD HEATHCOAT SCHOOL COMM CNTRE,none,Redecoration and Refurbishment project,1000,Revenue
Place,SfC,28/10/2015,3/1/2016,OLIVER BRIDGET,none,for resurfacing unadopted road for safety reasons,500,Revenue
Place,SfC,19/02/2015,31/03/2015,ONE ILFRACOMBE,none,Laptop for Community Connector,600,Revenue
Place,SfC,25/08/2015,3/1/2016,OPEN DAW DAWLISH COMMUNITY,1113482,"for monthly talks, training & networking",200,Revenue
Place,SfC,4/3/2015,31/03/2015,OTTER ROTTERS LTD,4861455,for local fresh food in Honiton,1000,Revenue
Place,SfC,6/3/2015,31/03/2015,OTTER ROTTERS LTD,4861455,for garden waste scheme,2000,Revenue
Place,SfC,26/02/2015,31/03/2015,OTTERY ST MARY FOOD & FAM FESTVL,none,Annual event,1000,Revenue
Place,SfC,25/08/2015,3/1/2016,PARISH OF THURLESTONE SOCIETY,1049762,for Thurlestone Parish Website set up costs,400,Revenue
Place,SfC,9/2/2015,31/03/2015,PARK LIFE HEAVITREE,none,Fun day in Heavitree Pleasure Ground,500,Revenue
Place,SfC,21/10/2015,10/1/2015,PATIENT PARTICIPATION GROUP,none,for advertising Health & Lifestyle Fayre in local media,250,Revenue
Place,SfC,20/02/2015,31/03/2015,PLOUGH AND SHARE CREDIT UNION LD,IP00639C,Totnes skate park improvements,3000,Revenue
Place,SfC,9/6/2015,9/6/2015,PLYMOUTH&DEVON RACIAL EQUALITY C,1102012,NEW COOKER for Haldon tenant,200,Revenue
Place,SfC,20/01/2015,31/03/2015,PROMOTE COLYTON GROUP,none,Setting up of new website,400,Revenue
Place,SfC,9/3/2015,31/03/2015,PROMOTE COLYTON GROUP,none,for Monmouth Rebellion Day,475,Revenue
Place,SfC,26/11/2015,3/1/2016,PROMOTE COLYTON GROUP,none,for heraldic banners,500,Revenue
Place,SfC,21/07/2015,15/08/15-16/08/15,RAF HARROWBEER INTEREST GROUP,none,RAF Harrowbeer 1940s weekend,500,Revenue
Place,SfC,9/3/2015,31/03/2015,READ EASY HONITON,1151288,reading coaching confidential one to one basis service,900,Revenue
Place,SfC,30/11/2015,12/1/2015,ROBOROUGH RECREATION HALL,270557,emergency toilet roof renewal,500,Revenue
Place,SfC,18/12/2015,31/03/2016,ROOM 4 U,none,Purchase of a redundant toilet block in Silverton to provide a health and wellbeing centre,450,Revenue
Place,SfC,25/06/2015,6/1/2015,ROTARY CLUB OF TEIGNMOUTH ESTUAR,273711,to purchase folding tables for events during the year,300,Revenue
Place,SfC,23/12/2015,19/12/2015,ROTARY CLUB OF TIVERTON,1052252,Christmas grotto,400,Revenue
Place,SfC,19/06/2015,06/15-07/15,ROUNDSWELL RESIDENTS ASSOCIATION,none,Clear and replant roundabout and verges,1500,Revenue
Place,SfC,10/6/2015,11/1/2015,ROYAL MARINES ASSOCIATION,none,"for wreaths, crosses, hymn sheets, RM Band at Armistice Day Service",500,Revenue
Place,SfC,6/3/2015,31/03/2015,S O S GLOBAL,none,Tackling anti-social behaviour together project,250,Revenue
Place,SfC,7/12/2015,1/1/2016,SALCOMBE CHRISTMAS LIGHTS,none,for upgrade of lights,500,Revenue
Place,SfC,3/11/2015,3/1/2016,SALTSTONE CARING LIMITED,1119726,for transportation costs,500,Revenue
Place,SfC,2/3/2015,31/03/2015,SALVATION ARMY THE,214779,for xmas lunches for elderly/lonely,500,Revenue
Place,SfC,9/9/2015,31/10/2015,SAMPFORD COURTENAY VILLAGE HALL,283279,Provision of disabled toilet,800,Revenue
Place,SfC,20/10/2015,3/31/2016,SAUNTON SANDS SURF LIFESAVING CL,none,Uniform for Flood Rescue team,1500,Revenue
Place,SfC,28/07/2015,1/1/2016,SEATON MARTIAL ARTS CENTRE,none,for new flooring,500,Revenue
Place,SfC,23/06/2015,10/1/2015,SENIOR COUNCIL FOR DEVON -TGNMTH,none,for coastal district dementia awareness event,300,Revenue
Place,SfC,25/06/2015,9/1/2015,SENIOR COUNCIL FOR DEVON -TGNMTH,none,for coastal district dementia awareness event,200,Revenue
Place,SfC,28/07/2015,3/1/2016,SHALDON FESTIVAL,1118828,for workshops in music & dram in local schools,500,Revenue
Place,SfC,26/01/2015,31/03/2015,SHALDON PRE SCHOOL,none,Soft play equipment,250,Revenue
Place,SfC,27/02/2015,31/03/2015,SHALDON TOURISM CENTRE,none,Improvments to display stands,500,Revenue
Place,SfC,7/7/2015,8/1/2015,SHALDON WILDLIFE TRUST LTD,1887344,for security system upgrade,500,Revenue
Place,SfC,9/9/2015,11/27/2015,SHARE MUSIC SOUTH WEST,1148695,Workshop at Chittlehampton,1000,Revenue
Place,SfC,25/02/2015,31/03/2015,SHAUGH PRIOR PARISH NEWS,none,Printing of parish magazine,500,Revenue
Place,SfC,25/02/2015,31/03/2015,SHAUGH PRIOR RECREATION HALL,none,Refurbishment of kitchen,500,Revenue
Place,SfC,19/02/2015,31/03/2015,SHOBROOKE VILLAGE HALL,none,Refurbishments,1000,Revenue
Place,SfC,19/01/2015,31/03/2015,SID VALE CARNIVAL CLUB,none,Building works to club shed,2500,Revenue
Place,SfC,7/7/2015,30/08/2015,SID VALLEY HORTICULTURAL SOCIETY,none,to pay for marquee hire,500,Revenue
Place,SfC,17/07/2015,30/09/2015,SIDBURY UNITED AFC,none,to purchase a mower - jointly funded,2500,Revenue
Place,SfC,14/08/2015,30/10/2015,SIDMOUTH CARNIVAL,none,for children's entertainment,300,Revenue
Place,SfC,29/10/2015,1/1/2016,SIDMOUTH CHAMBER OF COMMERCE,none,doe advertising Sidmouth Xmas Shopping Campaign,150,Revenue
Place,SfC,25/06/2015,30/08/2015,SIDMOUTH FOLKWEEK,none,for programme development,2500,Revenue
Place,SfC,2/9/2015,10/1/2015,SIDMOUTH SCIENCE FESTIVAL,none,community event,500,Revenue
Place,SfC,10/11/2015,3/1/2016,SIDMOUTH TOWN BAND,none,for instrument replacement,1000,Revenue
Place,SfC,27/07/2015,1/8/2015,SILVERTON STREET MARKET,None,Annual street market event,500,Revenue
Place,SfC,17/12/2015,3/1/2016,SOUNDART RADIO,none,for training,200,Revenue
Place,SfC,30/11/2015,3/1/2016,SOUTH BRENT CRICKET CLUB,none,for coaching provision for youth team,500,Revenue
Place,SfC,11/2/2015,31/03/2015,SOUTH BRENT OLD SCHOOL C CNT LTD,7593522,Fit for the future project,500,Revenue
Place,SfC,25/02/2015,31/03/2015,SOUTH BRENT VILLAGE HALL,300970,Up grade to meet with fire regulations,500,Revenue
Place,SfC,10/6/2015,10/1/2015,SOUTH HAMS ARTS TRAIL,none,to help with publicity materials & PR,500,Revenue
Place,SfC,30/11/2015,12/1/2015,SOUTH WEST RSTERA SQUAD,none,for sail training for 9-14 and equipment,300,Revenue
Place,SfC,20/01/2015,31/03/2015,ST ANDREWS VILLAGE HALL,none,Hall improvements,750,Revenue
Place,SfC,30/09/2015,10/1/2015,ST ANDREWS VILLAGE HALL,none,for kitchen refurbishment,400,Revenue
Place,SfC,19/01/2015,31/03/2015,ST DAVID'S NEIGHBOURHOOD PRTNSHP,none,Refurbishment of St David's & St James' historic lamp posts,6134,Revenue
Place,SfC,17/07/2015,3/1/2016,ST GEORGES FESTIVAL EVENTS,none,to provide living history displays,1000,Revenue
Place,SfC,19/01/2015,31/03/2015,ST THOMAS ALLOTMNT HOLDERS ASSOC,none,"Dig it, Plant it , Eat it project",125,Revenue
Place,SfC,4/11/2015,3/1/2016,ST THOMAS ALLOTMNT HOLDERS ASSOC,none,for communal path,1800,Revenue
Place,SfC,10/11/2015,12/1/2015,ST THOMAS NEIGHBOURHOOD & TRADER,none,for new lights,2000,Revenue
Place,SfC,19/05/2015,30/09/2015,STARCROSS PRE-SCHOOL,1022380,to purchase new shed for storage,900,Revenue
Place,SfC,8/10/2015,3/31/2016,STEAMSHIP FRESH SPRING SOCIETY,1151907,Educational materials to promote the project within schools,3000,Revenue
Place,SfC,28/07/2015,9/1/2015,STOKEINTEIGNHEAD VILLAGE HALL,265666,for new white goods for kitchen,500,Revenue
Place,SfC,10/6/2015,7/1/2015,STOKENHAM VILLAGE COM ASSOCIATIO,none,for purchase of defibulator,400,Revenue
Place,SfC,2/2/2015,31/03/2015,SUPERACT C I C,5709088,NEETS to create a bespoke mural,2000,Revenue
Place,SfC,18/12/2015,3/1/2016,T A A G CIC,7088023,for environmental project for rent heating light publicity etc,900,Revenue
Place,SfC,20/01/2015,31/03/2015,TAVISTOCK DEMENTIA ACTION ALLNCE,none,Creating a dementia friendly community,175,Revenue
Place,SfC,29/05/2015,Asap,TAVISTOCK GYMNASTICS CLUB,none,Gymnastics Equipment,669,Revenue
Place,SfC,14/07/2015,10/15-11/15,TAVISTOCK HERITAGE FESTIVAL,none,Highlight & celebrate Tavistock history,450,Revenue
Place,SfC,19/01/2015,31/03/2015,TAVISTOCK SCRAPSTORE,none,Setting up costs,1200,Revenue
Place,SfC,14/07/2015,10/1/2015,TAVISTOCK WHITCHURCH & DISTRICT,200782,CoaguchekXSINR Purchase,370,Revenue
Place,SfC,10/9/2015,3/31/2015,TAVISTOCK YOUTH CAFE LTD,5407734,EAT,300,Revenue
Place,SfC,13/03/2015,31/03/2015,TAW & TORRIDGE VOLUNTARY SERVICE,5407734,Bright Futures - Independent Living Fund,500,Revenue
Place,SfC,23/12/2015,2/1/2016,TAWSTOCK PARISH HALL,none,Upgrade of ladies toilet facilities,1500,Revenue
Place,SfC,7/7/2015,9/1/2015,TEIGN HOUSING,none,for equipment for communal room at travellers site,592.16,Revenue
Place,SfC,2/3/2015,31/03/2015,TEIGNBRIDGE HOMELESS ACTION TDY,1146610,for refurbishment of new premises,1500,Revenue
Place,SfC,17/07/2015,11/1/2015,TEIGNBRIDGE HOMELESS ACTION TDY,1146610,for refurbishment of premises,2000,Revenue
Place,SfC,15/06/2015,9/1/2015,TEIGNMOUTH CARNIVAL,none,"for licences, sound, stage & lighting for event",1000,Revenue
Place,SfC,19/10/2015,3/1/2016,TEIGNMOUTH EASTCLIFFE COMMUNITY,none,for instruments for youth club music project,750,Revenue
Place,SfC,19/05/2015,19/08/2015,TEIGNMOUTH THUNDERBIRDS NETBALL,none,to establish new netball session in Dawlish,500,Revenue
Place,SfC,11/6/2015,3/1/2016,TEIGNMOUTH THUNDERBIRDS NETBALL,none,for coaching equipment,1000,Revenue
Place,SfC,14/08/2015,11/1/2015,TEIGNMOUTH TOURING THEATRE CO,none,for advertising Community play @ Brixham Theatre,1000,Revenue
Place,SfC,28/07/2015,11/1/2015,TEIGNMOUTH TOURING THEATRE CO,none,for advertising Community play @ Brixham Theatre,250,Revenue
Place,SfC,5/3/2015,31/03/2015,THORNTON WEST RESIDENT ASSOCTN,none,for trestle tables for outdoor events,225,Revenue
Place,SfC,30/09/2015,3/1/2016,THURLESTONE PARISH HALL,none,to upgrade projection facilities,500,Revenue
Place,SfC,13/03/2015,31/03/2015,TIVERTON & DIST COMM TRANS ASSOC,1099477,Volunteer recruitment drive,500,Revenue
Place,SfC,6/3/2015,31/03/2015,TIVERTON & DISTRICT SCOUTS,none,Formation of Uffculme Scout Group,350,Revenue
Place,SfC,24/07/2015,9/1/2016,TIVERTON & DISTRICT SCOUTS,none,Halberton HQ Improvements,850,Revenue
Place,SfC,20/11/2015,10/1/2016,TIVERTON & MID DEVON MUSEUM TRST,239531,Tivvy bumper sculpture trail,1000,Revenue
Place,SfC,30/06/2015,27/08/2015,TIVERTON ADVENTURE PLAY,1146910,Summer Play Scheme,1000,Revenue
Place,SfC,6/2/2015,31/03/2015,TIVERTON BMX CLUB,none,Improve clubhouse facilities and provide safety equip,2250,Revenue
Place,SfC,20/01/2015,31/03/2015,TIVERTON MARKET CENTRE LTD,3707566,New window,840,Revenue
Place,SfC,24/07/2015,9/1/2015,TIVERTON MARKET CENTRE LTD,3707566,New kitchen,2000,Revenue
Place,SfC,12/8/2015,1/1/2016,TIVERTON SEA CADETS,300990,Fixed electrical wiring safety check,307,Revenue
Place,SfC,8/9/2015,1/9/2015,TIVERTON SEA CADETS,300990,Parade standard (flag on a pole),193,Revenue
Place,SfC,26/08/2015,9/1/2015,TOPSHAM COMMUNITY ASSOCIATION LT,1148398,for Town Crier Competition,750,Revenue
Place,SfC,17/03/2015,31/03/2015,TOPSHAM R F C,1146890,Drainage Improvement,1500,Revenue
Place,SfC,5/3/2015,31/03/2015,TOPSHAM TOWN FAYRE COMMITTEE,none,"fro road closures , traffic cone for Carnival",1000,Revenue
Place,SfC,10/11/2015,11/18/2015,TORRIDGE NEIGHBOURHOOD WATCH,1074233,Portable PA system for meetings,150,Revenue
Place,SfC,6/3/2015,31/03/2015,TORRIDGE VOLUNTEER CARS,1161874,"Start-up costs i.e.. office equipment, promotional leaflets",2109,Revenue
Place,SfC,14/01/2015,31/03/2015,TORRIDGESIDE AMATEUR SWIMMING CL,1103701,Coaching course,250,Revenue
Place,SfC,27/11/2015,10/15/2016,TORRINGTON & DISTRICT MENS SHED,none,Workshop electrical upgrade,1000,Revenue
Place,SfC,2/2/2015,31/03/2015,TOTNES & DARTMOUTH RING & RIDE,1041259,"Transportation of frail, elderly & disabled",1000,Revenue
Place,SfC,27/02/2015,31/03/2015,TOTNES ALLOTMENT ASSOCIATION,none,Repairs to boundary wall,1430,Revenue
Place,SfC,25/02/2015,31/03/2015,TOTNES BOATING ASSOCIATION,none,Defibrillator - building used by various community groups,1500,Revenue
Place,SfC,25/02/2015,31/03/2015,TOTNES CARING LTD,5602581,New directions club for set up fees,800,Revenue
Place,SfC,27/02/2015,31/03/2015,TOTNES DEVELOPMENT TRUST LTD,3670634,Skatepark lighting,700,Revenue
Place,SfC,2/3/2015,31/03/2015,TOTNES DEVELOPMENT TRUST LTD,3670634,for Totnes signage improvement,700,Revenue
Place,SfC,2/3/2015,31/03/2015,TOTNES DEVELOPMENT TRUST LTD,3670634,"for purchase of gardening equipment for Lamb Garden, to enable Yr 3 /4 pupils to attend sessions",500,Revenue
Place,SfC,2/3/2015,31/03/2015,TOTNES EVENTS COLLECTIVE,none,for community celebration on New Year Eve,2000,Revenue
Place,SfC,8/10/2015,1/31/2016,TOURIST INFORMATION CENTRE,8328833,Replacement counter and leaflet shelves,2150,Revenue
Place,SfC,2/2/2015,31/03/2015,TOWNSTAL COMMUNITY HALL ASSOC,1068533,Repainting,1000,Revenue
Place,SfC,29/05/2015,11/1/2015,TRANSITION TAVISTOCK,none,"Compost, seeds, netting & watering can",200,Revenue
Place,SfC,18/12/2015,3/1/2016,TRANSITION TOWN EXMOUTH,none,for climate summit lecture in Exmouth Comm College,275,Revenue
Place,SfC,4/3/2015,31/03/2015,TRANSITION TOWN TOTNES,none,for Incredible Edible project,770,Revenue
Place,SfC,10/11/2015,11/1/2016,TRANSITION TOWN TOTNES,none,for hire of Civic Hall,200,Revenue
Place,SfC,10/6/2015,11/1/2015,TREES FOR HEALTH,none,to create a permanent food system &produce food for local people,1000,Revenue
Place,SfC,7/10/2015,10/09/2015-31/03/2016,TURNING TIDES PROJECT CIC,9053146,Training Workshops,600,Revenue
Place,SfC,30/11/2015,1/1/2016,TURNING TIDES PROJECT CIC,9053146,Turning Tides Training Workshop,450,Revenue
Place,SfC,6/8/2015,10/1/2015,UMBERLEIGH VILLAGE HALL,none,for replacement double glazed windows,1000,Revenue
Place,SfC,17/08/2015,10/1/2015,UPOTTERY PLAYING FIELDS ASSOC,none,for footpath link,500,Revenue
Place,SfC,2/7/2015,asap,USKATE C I C,8828873,help with rent,250,Revenue
Place,SfC,29/01/2015,31/03/2015,USKATE CIC,8828873,Lease for skate park,1000,Revenue
Place,SfC,11/6/2015,3/1/2016,VOLUNTEERING IN HEALTH,113804,for telephone befriending service,500,Revenue
Place,SfC,30/06/2015,31/08/2015,WASHFIELD MEMORIAL HALL,301007,Replacement of roof and windows,1000,Revenue
Place,SfC,25/06/2015,7/1/2015,WASP WONFORD & ST PAULS PROJECT,none,for curtains in community hub,300,Revenue
Place,SfC,2/2/2015,31/03/2015,WELCOME CENTRE CIC THE,9296761,Phone & internet connection,534,Revenue
Place,SfC,7/12/2015,3/1/2016,WEMBURY CARING VOLUNTEERS,none,for public liability insurance and CRB checks,1000,Revenue
Place,SfC,4/3/2015,31/03/2015,WEMBURY OPEN AWARD GROUP,none,for rental of scout hut & purchase of D of Edin award books,400,Revenue
Place,SfC,10/11/2015,3/1/2016,WEMBURY WAR MEMORIAL VILLAGE HAL,280454,for community book scheme,500,Revenue
Place,SfC,6/8/2015,08/15 - 03/16,WEST DEVON ART WORKSHOPS,none,Art classes for adults with learning difficulties,500,Revenue
Place,SfC,30/11/2015,12/1/2015,WEST DEVON ART WORKSHOPS,none,Tavistock Young Artists Exhibition,1000,Revenue
Place,SfC,20/01/2015,31/03/2015,WEST DEVON COMMUNITY & VOLUNTARY,1119730,Exercise,500,Revenue
Place,SfC,14/01/2015,31/03/2015,WEST DEVON COMMUNITY & VOLUNTARY,1119730,Young peoples services consultation excersise,500,Revenue
Place,SfC,21/04/2015,31/03/2016,WEST DEVON COMMUNITY & VOLUNTARY,1119730,ANNUAL GRANT,189000,Revenue
Place,SfC,9/7/2015,31/03/2016,WEST DEVON COMMUNITY & VOLUNTARY,1119730,VOLUNTARY VOICE,9000,Revenue
Place,SfC,24/08/2015,3/31/2016,WEST DOWN VILLAGE GREEN FIELD AS,1153245,Play Area,200,Revenue
Place,SfC,25/06/2015,8/1/2015,WEST EXE YOUTH FOOTBALL CLUB,none,for new equipment,1200,Revenue
Place,SfC,10/6/2015,12/1/2015,WEST HILL RESIDENTS ASSOCIATION,none,for consultants report on impact of quarrying & haulage route on village and amenities by Straitgate,1000,Revenue
Place,SfC,22/01/2015,31/03/2015,WESTBANK COMMUNITY HEALTH & CARE,1119541,Over 65's in the Teignmouth area to assist them to socialise and integrate in to the community,250,Revenue
Place,SfC,6/8/2015,3/1/2016,WESTBANK COMMUNITY HEALTH & CARE,1119541,"for Exeter Memory Café, for events and resources",500,Revenue
Place,SfC,25/06/2015,3/1/2015,WHIMPLE CRICKET CLUB,none,for a new score board,1000,Revenue
Place,SfC,10/8/2015,asap,WHITCHURCH PRE SCHOOL,1020798,New Windows,1200,Revenue
Place,SfC,26/08/2015,12/1/2015,WILD HEART MEDIA,none,for specific therapeutic session at Ladysmith Infant School,102,Revenue
Place,SfC,21/12/2015,22/03/2016,WILLAND FOOTBALL CLUB,none,Willand Club Tannoy,500,Revenue
Place,SfC,19/01/2015,31/03/2015,WONFORD COMM & LEARNING CNTR LTD,5908666,Run food & hygiene course for the Wonford Community,250,Revenue
Place,SfC,19/01/2015,31/03/2015,WONFORD COMM & LEARNING CNTR LTD,5908666,Help to run the club,50,Revenue
Place,SfC,19/05/2015,9/1/2015,WONFORD COMM & LEARNING CNTR LTD,5908666,for medical presence at Wonford Community Fete,175,Revenue
Place,SfC,25/06/2015,3/1/2016,WOODBURY CRICKET CLUB,none,replacing showers/floor,800,Revenue
Place,SfC,19/05/2015,4/1/2015,WOODBURY LOCAL HISTORY SOCIETY,none,The Woodbury HEAP project report,476,Revenue
Place,SfC,30/09/2015,3/1/2016,WORLD TRADITIONAL KARATE ORG SW,none,for training sessions with the National Squad,500,Revenue
Place,SfC,10/2/2015,31/03/2015,X-PLORE - LGBT YOUTH GROUP,1104199,PROMOTIONAL GRANT,1134,Revenue
