Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,SfC,28/07/2015,3/5/2017,5th North Devon Scout Group,1184,Scout hut replacement,2000,Capital
Place,SfC,9/9/2015,3/5/2017,Dodbrooke Church,1188,Organ restoration,500,Capital
Place,SfC,30/09/2008,3/5/2017,Copplestone Recreation Association,184,Construction of a new pavillion,2950,Capital
Place,SfC,15/03/2012,3/5/2017,St Disens Church Bradninch Church Council,640,Disabled ramp to churchyard,1500,Capital
Place,SfC,3/10/2014,3/5/2017,Bradford Pre-School Nursery,1054,Improving access to outside area,400,Capital
Place,SfC,3/10/2014,3/5/2017,Cullompton Rangers Football Club,1064,Perimeter fencing,500,Capital
Place,SfC,4/6/2015,31/03/2016,Braunton Volunteer Bureau,269536,Grant towards the County Car Forum,1594.69,Capital
Place,SfC,11/5/2015,31/03/2016,Devon Wheels to Work,5927572,Provision of Wheels to Work service,45000,Capital
Place,SfC,28/04/2015,31/03/2016,North Devon Voluntary Services Ltd,1133707,SPOC Grant,40000,Capital
Place,SfC,4/6/2015,31/03/2016,Trip Community Transport Association,1082544,Grant towards the County Car Forum,9528.76,Capital
Place,SfC,4/6/2015,31/03/2016,West Devon Community & Voluntary Services,1119730,Grant towards the County Car Forum,10876.55,Capital
Place,SfC,11/5/2015,31/03/2016,Axe Valley & Dorset Ring and Ride,1098002,Grant towards the provision of a Ring and Ride service,15000,Revenue
Place,SfC,25/09/2015,31/03/2016,Braunton Volunteer Bureau,269536,Grant towards the County Car Forum,5255.06,Revenue
Place,SfC,18/09/2015,31/03/2016,Coleridge Community Bus (Totnes),282151,Driver training,4248.37,Revenue
Place,SfC,11/5/2015,31/03/2016,Devon Wheels to Work,5927572,Provision of Wheels to Work service,17000,Revenue
Place,SfC,18/08/2015,31/03/2016,East Teignbridge CTA,1060175,Shopmobility grant,350,Revenue
Place,SfC,11/5/2015,31/03/2016,East Teignbridge CTA,1060175,Ring & Ride grant,15000,Revenue
Place,SfC,18/08/2015,31/03/2016,Exeter Community Transport Association,1129560,Shopmobility grant,7877,Revenue
Place,SfC,28/04/2015,31/03/2016,Exeter Community Transport Association,1129560,Ring & Ride grant,15565,Revenue
Place,SfC,29/05/2015,31/03/2016,Exmouth & District CTG,1011410,Ring & Ride grant,15000,Revenue
Place,SfC,18/08/2015,31/03/2016,Go North Devon Ltd,IP 27719 R,Shopmobility grant,9045.5,Revenue
Place,SfC,21/04/2015,31/03/2016,Go North Devon Ltd,IP 27719 R,Ring & Ride grant,15344,Revenue
Place,SfC,29/05/2015,31/03/2016,Holsworthy Rural Community Transport,1109623,Ring & Ride grant,15000,Revenue
Place,SfC,21/04/2015,31/03/2016,Ilfracombe Community Transport,279975,Ring & Ride grant,9378,Revenue
